cuda_device : 2
eos_m_token : EOS_M
beam_len_bonus : 0.6
mode : test
m : TSD
prev_z_method : separate
seed : 0
vocab_size : 800
embedding_size : 50
hidden_size : 50
split : (3, 1, 1)
lr : 0.0002
lr_decay : 0.5
vocab_path : ./vocab/vocab-camrest.pkl
data : ./data/CamRest676/CamRest676.json
entity : ./data/CamRest676/CamRestOTGY.json
db : ./data/CamRest676/CamRestDB.json
glove_path : ./data/glove/glove.6B.50d.txt
batch_size : 32
z_length : 8
degree_size : 5
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 2
cuda : True
spv_proportion : 100
max_ts : 40
early_stop_count : 1
new_vocab : True
model_path : models/camrest-rl.pkl
result_path : ./results/camrest-rl.csv
teacher_force : 100
beam_search : True
beam_size : 10
sampling : False
use_positional_embedding : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,user,generated_bspan,bspan,generated_response,response,u_len,m_len,supervised
632,0,i 'm looking for a restaurant in the moderate price range in the east part of town,moderate east EOS_Z1,moderate east EOS_Z1,<go> name_SLOT is a moderately priced restaurant in the east part of town .,"how about name_SLOT , they are in the moderate price range in the east part of town",18,18,True
578,0,i am looking for a thai restaurant - any area will do .,thai EOS_Z1,thai EOS_Z1,<go> name_SLOT is a thai restaurant in the area_SLOT part of town .,name_SLOT is an pricerange_SLOT thai restaurant in the area_SLOT of town .,14,13,True
654,0,i am looking for a moderately priced restaurant in the south part of town . any kind of food is good with me ; i would just like to know the phone number of the venue you find .,moderate south EOS_Z1 phone,moderate south EOS_Z1 phone,<go> name_SLOT is located at address_SLOT and the phone number is phone_SLOT . can i help you with anything else ?,name_SLOT 's phone number is phone_SLOT .,40,8,True
649,0,i am looking for the address and price range of a restaurant serving chinese food in the south part of town .,chinese south EOS_Z1 address,chinese south EOS_Z1 address pricerange,<go> name_SLOT is a chinese restaurant in the south part of town . is there anything else i can help you with ?,name_SLOT is a chinese restaurant located in the south part of town in the pricerange_SLOT price range . their address is address_SLOT .,23,24,True
628,0,"hello , i am looking for a moderately priced restaurant that serves gastropub food .",gastropub moderate EOS_Z1,gastropub moderate EOS_Z1,<go> there are two restaurants serving gastropub food .,name_SLOT serves gastropub food and is in the moderate price range .,16,13,True
591,0,"hello , i am looking for an expensive restaurant that serves irish food .",irish expensive EOS_Z1,irish expensive EOS_Z1,<go> there are no restaurants matching your request . would you like to try something else ?,"i 'm sorry , there is not restaurants matching your request . would you like to try something else ?",15,21,True
549,0,i would like a restaurant in the north part of town that serves french food,french north EOS_Z1,french north EOS_Z1,<go> name_SLOT is a french restaurant in the north part of town . would you like their phone number ?,there is name_SLOT in the the north side of town that serves french food .,16,16,True
566,0,"i want to visit an expensive restaurant in the south part of town . i need the address , phone number , and type of food .",expensive south EOS_Z1 address food phone,expensive south EOS_Z1 address phone phone,<go> name_SLOT is located at address_SLOT and the phone number is phone_SLOT . is there anything else i can help you with ?,"there are five expensive restaurants available in the south part of the city . food_SLOT , food_SLOT , food_SLOT , and two food_SLOT restaurants are available . what type of food would you like ?",28,36,True
648,0,"i would like a restaurant that serves world food . it should be a really good restaurant , and it 's ok if it 's expensive .",world expensive EOS_Z1,world EOS_Z1,<go> name_SLOT is a expensive world expensive world food .,there are no matching restaurants,28,6,True
636,0,i 'm looking for a place that has chinese food .,chinese EOS_Z1,chinese EOS_Z1,<go> there are two chinese restaurants .,"there are <unk> chinese restaurants , do you prefer any price range or any area in town ?",12,19,True
665,0,i am looking for a cheap restaurant in the east part of town .,cheap east EOS_Z1,cheap east EOS_Z1,<go> name_SLOT is a cheap restaurant in the east part of town . would you like their phone number ?,name_SLOT is a cheap food_SLOT restaurant in the east side . would you like the address or phone number ?,15,21,True
613,0,i am looking for a restaurant in the moderate price range and in the north part of town .,moderate north EOS_Z1,moderate north EOS_Z1,<go> name_SLOT is a moderately priced restaurant in the north part of town .,there are two moderately priced restaurants in the north part of town . one specializes in food_SLOT cuisine and the other is a food_SLOT restaurant .,20,27,True
609,0,are there any lebanese restaurants in the city ?,lebanese EOS_Z1,lebanese EOS_Z1,<go> name_SLOT is a lebanese restaurant in the area_SLOT part of town .,name_SLOT is a nice lebanese place in the area_SLOT .,10,11,True
587,0,"hi , i 'm looking for a moderately priced restaurant on the south side of town .",moderate south EOS_Z1,moderate south EOS_Z1,<go> name_SLOT is a moderately priced restaurant in the south part of town .,name_SLOT is a moderately priced restaurant in the south area . would you like their information ?,18,18,True
577,0,"hi , i 'm looking for a moderately priced restaurant in the south part of town .",moderate south EOS_Z1,moderate south EOS_Z1,<go> there are two restaurants in the south part of town,the name_SLOT is moderately priced and in the south part of town . would you like their location ?,18,20,True
554,0,may i have information for an italian restaurant in the east part of town ?,italian east EOS_Z1,italian east EOS_Z1,<go> name_SLOT is a italian restaurant in the east part of town .,yes sure . there is only on italian restaurant called name_SLOT in the east . what else do you want to know ?,16,24,True
655,0,"could you recommend a restaurant that serves french food ? i 'll need the address , phone number and postcode . thank you .",french EOS_Z1 address phone postcode,french EOS_Z1 address phone postcode,<go> name_SLOT is a french restaurant in the area_SLOT of town and the phone number is phone_SLOT . is there anything else i can help you with ?,you would like a restaurant serving french food . do you have a preference to what area it is located ?,25,22,True
640,0,i would like a moderately priced restaurant located in the south part of town .,moderate south EOS_Z1,moderate south EOS_Z1,<go> name_SLOT is a moderately priced restaurant in the south part of town . would you like their phone number ?,name_SLOT is an food_SLOT restaurant in the south of town in the moderate price range .,16,17,True
564,0,i would like a cheap restaurant that serves mediterranean food,mediterranean cheap EOS_Z1,mediterranean cheap EOS_Z1,<go> there are two cheap restaurants in the cheap price range . would you like something else ?,name_SLOT is a cheap restaurant that serves mediterranean food . is the area_SLOT part of town okay for you ?,11,21,True
623,0,can i get a korean restaurant in the town centre ?,korean centre EOS_Z1,korean centre EOS_Z1,<go> name_SLOT is a korean restaurant in the centre of town .,name_SLOT is located in the town centre,12,8,True
668,0,hi . can you please help me find a moderately priced restaurant in the south part of town ?,moderate south EOS_Z1,moderate south EOS_Z1,<go> there are two moderately priced restaurants in the south part of town .,here is a list of restaurants located in the south side of town in the moderate price range,20,19,True
556,0,"hi , i want a moderately priced restaurant located in the south part of town .",moderate south EOS_Z1,moderate south EOS_Z1,<go> name_SLOT is a moderately priced restaurant in the south part of town . would you like their phone number ?,name_SLOT is in the south part of town and in the moderate price range . would you like their location ?,17,22,True
643,0,"hello , i am looking for a moderately priced restaurant on the south side of town .",moderate south EOS_Z1,moderate south EOS_Z1,<go> name_SLOT is a moderately priced restaurant in the south part of town .,there are two moderately priced restaurants in the south area . would you like food_SLOT or food_SLOT ?,18,19,True
653,0,i 'm looking for a gastropub restaurant .,gastropub EOS_Z1,gastropub EOS_Z1,<go> there are two gastropub restaurants .,the name_SLOT serves gastropub food .,9,7,True
601,0,i would like a moderately priced restaurant that serves lebanese food,lebanese moderate EOS_Z1,lebanese moderate EOS_Z1,<go> i 'm sorry,"there is the name_SLOT at the city center , would you like to have the address ?",12,18,True
